fips,county_name,state,n_single_family_homes,latitude,longitude
12075,Levy,FL,10438,29.319210871727,-82.75878937539521
12077,Liberty,FL,1790,30.256227,-84.88666061339441
12079,Madison,FL,4559,30.4709615,-83.48150858173216
12081,Manatee,FL,112346,27.4564175,-82.37409956515044
12083,Marion,FL,119879,29.2461945,-82.02255350416479
12085,Martin,FL,44981,27.046076499999998,-80.44343354670161
12086,Miami-Dade,FL,427680,25.5672265,-80.59285625325519
12087,Monroe,FL,30274,24.7145915,-81.45391064142899
12089,Nassau,FL,27481,30.544476,-81.87595996847023
12091,Okaloosa,FL,63599,30.695413607637597,-86.59270015221784
12093,Okeechobee,FL,9568,27.288473500000002,-80.84053274492126
12095,Orange,FL,310092,28.5462805,-81.29354866804016
12097,Osceola,FL,92514,27.9671205,-81.1166975821536
12099,Palm Beach,FL,321828,26.6704385,-80.45956059636379
12101,Pasco,FL,164445,28.3462724286967,-82.38988383644946
12103,Pinellas,FL,248184,27.8851505,-82.70815772607908
12105,Polk,FL,197016,27.9671205,-81.71083801189907
12107,Putnam,FL,17891,29.6117865,-81.78774242936052
12109,St. Johns,FL,87129,29.9195615,-81.4379713981429
12111,St. Lucie,FL,105617,27.4105315123038,-80.46820097835388
12113,Santa Rosa,FL,61653,30.661484,-87.02871717043415
12115,Sarasota,FL,145813,27.1203945,-82.26131426615302
12117,Seminole,FL,120331,28.7316325,-81.24966942668641
12119,Sumter,FL,62522,28.614126,-82.09880697214416
12121,Suwannee,FL,8402,30.186995500000002,-83.01539264279108
12123,Taylor,FL,6133,29.978790500000002,-83.58768456035877
12125,Union,FL,2303,30.0690375,-82.35824137162241
12127,Volusia,FL,177760,29.0410885,-81.16149276359441
12129,Wakulla,FL,8969,30.2009125,-84.3821623535486
12131,Walton,FL,32280,30.5632805,-86.14114179314592
12133,Washington,FL,6304,30.602000500000003,-85.66830771224983
13001,Appling,GA,4967,31.6039825,-82.2431488495517
13003,Atkinson,GA,1714,31.321016999999998,-82.84830174208861
13005,Bacon,GA,2769,31.6154205,-82.490832634297
